Mean,Count,Service Time
1.0,0,0.393
1.0,1,0.058
1.0,2,0.083
1.0,3,0.037
1.0,4,0.066
1.0,5,0.057
1.0,6,0.056
1.0,7,0.108
1.0,8,0.029
1.0,9,0.081
